image,count
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142637_0495_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142642_0496_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142651_0497_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142659_0498_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142704_0499_D.JPG,3
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142709_0500_D.JPG,7
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142715_0501_D.JPG,15
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142719_0502_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142724_0503_D.JPG,2
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142729_0504_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142735_0505_D.JPG,5
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142921_0506_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142928_0507_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142934_0508_D.JPG,1
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142939_0509_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142944_0510_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103142949_0511_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103143029_0512_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103143034_0513_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103143040_0514_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103143045_0515_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103143051_0516_D.JPG,0
/Users/Araxa/Documents/tccemanoel/sistema-paineis-solares/backend/dados/plantas_completas/imagens/sujo/DJI_20251103143056_0517_D.JPG,0
